               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12936,            0.046629,            0.059056,           0.0011072,            0.045455,           0.0036981,          0.00082426,              0.1215,            0.045105,            0.058041,              0.0901,              0.0011,              0.0011
                   1,             0.11742,            0.052029,             0.05676,           0.0026154,             0.12338,           0.0027302,          0.00063477,             0.10831,            0.053886,            0.055494,            0.079254,           0.0022545,           0.0022545
                   2,             0.10734,            0.065768,            0.053814,           0.0053096,              0.2013,            0.012281,           0.0021842,             0.10309,            0.056797,            0.053806,            0.068361,           0.0033614,           0.0033614
                   3,            0.099439,            0.066599,            0.051026,           0.0091003,             0.36364,            0.016175,           0.0042677,            0.094827,            0.059864,             0.04924,            0.057421,           0.0044208,           0.0044208
                   4,            0.097439,            0.063947,            0.048881,            0.042111,             0.24675,            0.061275,            0.016364,             0.08875,            0.064697,            0.046319,            0.046433,           0.0054327,           0.0054327
                   5,            0.090787,            0.064116,            0.045691,             0.11302,             0.29024,             0.10067,            0.042038,            0.080833,            0.075401,            0.043195,            0.035397,           0.0063971,           0.0063971
                   6,            0.086251,            0.062782,            0.042489,             0.38159,            0.058442,            0.074505,            0.019698,            0.090361,            0.071644,             0.03708,            0.024314,            0.007314,            0.007314
                   7,            0.084416,            0.057549,            0.040117,             0.14789,             0.40275,             0.15663,            0.044543,            0.085331,            0.060787,            0.034145,            0.013183,           0.0081833,           0.0081833
                   8,            0.080839,            0.058438,            0.039457,            0.089727,             0.35714,             0.15019,            0.032701,            0.085657,            0.051868,            0.029379,            0.008416,            0.008416,            0.008416
                   9,            0.085267,            0.055406,            0.036916,             0.19295,             0.31169,             0.18108,            0.051221,            0.092223,            0.046925,            0.027253,            0.008416,            0.008416,            0.008416
                  10,            0.077145,            0.055112,            0.034107,             0.24782,             0.50965,             0.30844,            0.099741,            0.081388,            0.051456,            0.025269,            0.008218,            0.008218,            0.008218
                  11,            0.083939,            0.054804,            0.033791,            0.063177,             0.40379,             0.10985,            0.030732,            0.097581,            0.051643,            0.025226,             0.00802,             0.00802,             0.00802
                  12,             0.08118,            0.054417,            0.033406,              0.3682,             0.64461,             0.46264,             0.14567,            0.075536,            0.047119,            0.022422,            0.007822,            0.007822,            0.007822
                  13,            0.071989,            0.053848,            0.031342,             0.30427,             0.65213,             0.40126,             0.11258,            0.070188,               0.048,            0.022115,            0.007624,            0.007624,            0.007624
                  14,             0.06536,            0.057271,            0.029459,             0.32488,              0.6039,             0.48954,             0.14831,            0.072932,            0.049984,            0.020864,            0.007426,            0.007426,            0.007426
